wearit_uuid,m2c2_cogtask,participant_id,device_model,device_os,survey_date_submitted,survey_date_completed,first_char,format_valid,cogtask_cps,cogtask_name,time_stamp,os,trial_num,responseTime,cogtask_type,cogtask_trial_params,cogtask_display_name,cogtask_fps,block_id,block_trial_num,trial_uuid,block_num,trialset_id,trial_type,response,letter,cogtask_all_params_checksum,cogtask_run_uuid
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,60.84243369734789,Go No Go,2022/02/09 19:21:50,android,1,-1,gonogo,{},Go No Go,117.87665886026542,1,0,aa7d4782-55cc-4ee3-8055-d5a25821325f,1,1,1,0,B,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.32075471698113,Go No Go,2022/02/09 19:21:52,android,1,-1,gonogo,{},Go No Go,118.71069182389937,1,0,0018c5e4-a5b0-47dd-ab07-fc88119dfbae,1,1,1,0,Z,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.91222570532915,Go No Go,2022/02/09 19:21:53,android,1,670,gonogo,{},Go No Go,118.3385579937304,1,0,784c8527-c77b-4d96-90d3-9687fab4a9bc,1,1,1,1,T,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.52647975077881,Go No Go,2022/02/09 19:21:54,android,1,425,gonogo,{},Go No Go,117.69290724863602,1,0,5a4876cb-054c-41d7-928a-a38cc2e40961,1,1,1,1,M,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.36900078678207,Go No Go,2022/02/09 19:21:55,android,1,351,gonogo,{},Go No Go,118.01730920535013,1,0,e582b803-8195-4a85-8c2b-9df4e1dd8962,1,1,1,1,H,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.36900078678207,Go No Go,2022/02/09 19:21:57,android,1,315,gonogo,{},Go No Go,118.01730920535013,1,0,58bbd430-4243-4dbe-bf47-b6f59c218476,1,1,1,1,A,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.478599221789885,Go No Go,2022/02/09 19:21:58,android,1,353,gonogo,{},Go No Go,118.28793774319067,1,0,a49c6a09-3a9b-49c3-b880-1bac8388ea56,1,1,1,1,O,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.96746707978312,Go No Go,2022/02/09 19:21:59,android,1,459,gonogo,{},Go No Go,117.73818745158792,1,0,6ce60489-71d9-48db-a7c3-ed20bfb31485,1,1,1,1,Q,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.52647975077881,Go No Go,2022/02/09 19:22:01,android,1,297,gonogo,{},Go No Go,118.38006230529595,1,0,3859e620-1890-49e0-b8d9-60d277ecec3a,1,1,1,1,L,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.670569867291185,Go No Go,2022/02/09 19:22:02,android,1,336,gonogo,{},Go No Go,118.65729898516784,1,0,d341d660-cf89-4da6-9c28-108ae1dc9c86,1,1,1,1,F,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.670569867291185,Go No Go,2022/02/09 19:22:03,android,1,294,gonogo,{},Go No Go,117.87665886026542,1,0,65f87f9f-ff5a-4ce1-8e74-27c7b7c97d2e,1,1,1,1,S,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
